Carimbo de data/hora;Gênero? ;Idade?;Estado Civil?;Quantos filhos possui?;Qual é o seu grau de escolaridade ?;Qual sua graduação?;Há quanto tempo você é militar?;Na área de qual Distrito Naval você servia antes do curso?;Quantas pessoas residem com você?;Quantas pessoas residem com você contribuem para o orçamento familiar?;Quantas pessoas não residem na mesma casa contribuem para o orçamento?;Até que parcela do orçamento essas pessoas que não residem contribuem?;Você contribui financeiramente com outra pessoa que não mora com você?;Até que parcela do orçamento você contribui  com pessoas que não residem na mesma casa que você?;Quantos cartões de crédito você possui?;Quantas contas bancárias você mantém?;Você investe/poupa parte do seu salário?;Que parte dessa quantia poupada fica em caderneta de poupança?;Por qual motivo você poupa parte do seu salário?;Você tem o hábito de anotar seus gastos?;Você conhece ferramentas que auxiliam no planejamento financeiro pessoal?;Quantas vezes você já deixou de pagar o valor total do cartão de crédito ou utilizou o cheque especial?;Você já pegou algum empréstimo em instituição financeira?;Você tem algum tipo de dívida (empréstimos, financiamentos, rotativo do cartão)?;Qual parte do seu orçamento está comprometido com dívidas acima de 12 meses?;Durante a Infância/adolescência alguém conversou com você sobre poupança, investimentos e demais assuntos ligados às finanças pessoais?;De quantas palestras sobre educação financeira ministradas pela Marinha você já participou?;Onde você adquiriu a maior parte dos seus conhecimentos para gerir o seu dinheiro?;Como você classificaria sua segurança em relação aos seus conhecimentos?
8/4/2018 14:40:46;Masculino;Acima de 30 anos;Casado (a)/União Estável;0;Especialização;Cabo;Mais de 10 anos;1;1;1;0;;0;;1;1;10%;Mais de 30%;Comprar carro/moto, Para certas emergências;Raramente e não analiso os grupos;Não;4 ou mais;Outro;Abaixo de 24 meses com prestação em dia;20%;Sim;2;Em casa com a família, Da minha experiência prática, Em palestras ministradas na Marinha;Satisfatório
8/4/2018 14:44:45;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;1;1;0;;0;;2;2;0%;0%;Outros fins;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;4 ou mais;Pagar uma dívida;Acima de 24 meses com prestação em dia.;30%;Sim;4 ou mais;Em conversa com amigos;Moderada
8/4/2018 14:49:09;Masculino;Acima de 30 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Cabo;Mais de 10 anos;2;2;0;0;;0;;1;1;10%;0%;Para certas emergências;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;1;Pagar uma dívida;Abaixo de 24 meses com prestação em dia;0%;Sim;1;Em aulas na universidade, Em revistas, livros, TV e rádio, Da minha experiência prática;Satisfatório
8/4/2018 14:52:35;Masculino;Acima de 30 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Cabo;Mais de 10 anos;2;0;0;0;;1;10%;1;1;0%;0%;;Não registro;Conheço mas não utilizo;0;Pagar uma dívida;Acima de 24 meses com prestação em dia.;30%;Não;4 ou mais;Da minha experiência prática;Moderada
8/4/2018 14:54:52;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Cabo;Entre 8 e 10 anos;5;2;0;0;;0;;0;1;Mais de 30%;Mais de 30%;Comprar minha casa, Para certas emergências;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;0;Nunca;Não tenho dívidas pessoais;0%;Sim;0;Em casa com a família, Em aulas na universidade;Satisfatório
8/4/2018 14:56:34;Feminino;De 26 a 30 anos;Solteiro (a);0;Ensino Superior Incompleto;Cabo;Entre 5 e 8 anos;1;3;2;0;;0;;1;2;0%;0%;;Não registro;Não;2;Nunca;Não tenho dívidas pessoais;0%;Não;0;Em conversa com amigos, Na internet;Inseguro
8/4/2018 15:00:22;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;1;1;0;;0;;1;1;10%;10%;Outros fins;Não registro;Conheço mas não utilizo;2;Outro;Abaixo de 24 meses com prestação em dia;10%;Não;0;Da minha experiência prática;Moderada
8/4/2018 15:02:51;Masculino;Acima de 30 anos;Casado (a)/União Estável;1;Ensino Superior Completo;Cabo;Mais de 10 anos;1;2;0;0;;0;;1;1;0%;0%;;Raramente e não analiso os grupos;Sim. Já utilizei por algum tempo;4 ou mais;Comprar carro/moto, Construir/ comprar a casa própria, Pagar uma dívida;Acima de 24 meses com prestação em dia.;Mais de 30%;Sim;4 ou mais;Em aulas na universidade;Satisfatório
8/4/2018 15:04:50;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;5;1;0;0;;0;;1;1;0%;0%;;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;1;Pagar uma dívida;Acima de 24 meses com prestação em dia.;20%;Sim;0;Em casa com a família;Satisfatório
8/4/2018 15:07:37;Masculino;De 26 a 30 anos;Solteiro (a);1;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;0;0;0;;1;20%;1;1;10%;10%;Para certas emergências;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;1;Comprar carro/moto;Abaixo de 24 meses com prestação em dia;0%;Não;1;Em conversa com amigos, Em revistas, livros, TV e rádio, Na internet, Da minha experiência prática;Satisfatório
8/4/2018 15:09:58;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;3;2;0;;0;;0;3;0%;0%;Comprar minha casa;Não registro;Não;0;Comprar carro/moto;Não tenho dívidas pessoais;0%;Não;0;Em casa com a família;Inseguro
8/4/2018 15:13:20;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Mais de 10 anos;3;2;0;0;;0;;4 ou mais;1;10%;10%;Comprar minha casa, Comprar carro/moto, Para certas emergências, Para realizar viagens;Não registro;Não;0;Comprar carro/moto;Não tenho dívidas pessoais;0%;Não;0;Na internet;Excelente
8/4/2018 15:15:55;Masculino;Acima de 30 anos;Solteiro (a);1;Ensino Superior Incompleto;Cabo;Entre 8 e 10 anos;2;3;0;0;;0;;2;1;0%;0%;;Raramente e não analiso os grupos;Conheço mas não utilizo;0;Pagar uma dívida;Abaixo de 24 meses com prestação em dia;0%;Não;2;Em revistas, livros, TV e rádio;Moderada
8/4/2018 15:20:54;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;1;1;0;;0;;1;1;0%;0%;;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;0;Construir/ comprar a casa própria;Acima de 24 meses com prestação em dia.;30%;Não;0;Em conversa com amigos, Na internet;Satisfatório
8/4/2018 15:23:08;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Completo;Cabo;Mais de 10 anos;5;2;0;0;;0;;1;2;0%;0%;;Não registro;Sim. Já utilizei por algum tempo;4 ou mais;Outro;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;0;Na internet;Inseguro
8/4/2018 15:26:07;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;3;2;0;;0;;1;2;0%;0%;;Não registro;Não;4 ou mais;Nunca;Não tenho dívidas pessoais;0%;Não;1;Da minha experiência prática;Inseguro
